column_name,rule,dimension
mensa_sku_id,Should not be null or blank,Completeness
mensa_sku_id,Must be unique across records,Uniqueness
mensa_style_id,Should not be null or blank,Completeness
mensa_style_id,Must be valid style reference,Validation
sku_id,Should not be null or blank,Completeness
sku_id,Must be unique across records,Uniqueness
ean_code,Should not be null or blank,Completeness
ean_code,Must be unique,Uniqueness
ean_code,Must be 13 digit numeric code,Validation
tax_code,Should not be null or blank,Completeness
tax_code,Must be valid tax classification,Validation
brand_id,Should not be null or blank,Completeness
brand_id,Must exist in brand master,Validation
size,Should not be null or blank,Completeness
size,Must follow standard size format,Standardization
mrp,Should not be null or blank,Completeness
mrp,Must be greater than zero,Validation
is_virtual,Must be Y/N or Boolean,Validation
created_on,Should not be null,Completeness
created_on,Must be valid date format,Validation
cogs,Must be numeric and >= 0,Validation
sync_status,Must be from allowed status list,Validation
scan_identifier,Should not be null or blank,Completeness
scan_identifier,Must be unique,Uniqueness
channel_tolerance_days,Must be numeric,Validation
grn_tolerance_days,Must be numeric,Validation
return_tolerance_days,Must be numeric,Validation
height,Must be numeric and >= 0,Validation
weight,Must be numeric and >= 0,Validation
length,Must be numeric and >= 0,Validation
breadth,Must be numeric and >= 0,Validation
gender,Must be from allowed gender list,Validation
group_id,Must exist in group master,Validation
image_link,Must be valid URL,Validation
updated_on,Must be valid date format,Validation
updated_on,Must be >= created_on,Validation
asin,Must follow Amazon ASIN format,Validation
upc_code,Must be valid UPC format,Validation
fn_sku,Must be valid fulfillment SKU,Validation
hts_code,Must follow HTS format,Validation
drawback_code,Must be valid drawback code,Validation
rpc_name,Should not contain special characters,Validation
rpc_email,Must follow email format,Validation
manufacturing_type,Must be from allowed list,Validation
htsus_code,Must follow HTSUS format,Validation
product_length,Must be numeric,Validation
product_breadth,Must be numeric,Validation
product_height,Must be numeric,Validation
product_weight,Must be numeric,Validation
created_by,Should not be null,Completeness
updated_by,Should not be null when updated,Completeness
shelf_life,Must be numeric days,Validation
country,Should not be null or blank,Completeness
country,Must be valid country,Validation
id,Must be unique,Uniqueness
deleted,Must be 0/1 flag,Validation
style_master_id,Must exist in style master,Validation
active,Must be Y/N flag,Validation
image_link_conversion_status,Must be valid status,Validation
s3_image_link,Must be valid URL,Validation
country_of_origin,Must be valid country,Validation
collection,Must follow collection master,Validation
replenishment_flag,Must be Y/N flag,Validation
vendor_lead_time,Must be numeric days,Validation
size_type,Must be from allowed size type list,Validation
domestic_offline_mrp,Must be numeric and >=0,Validation
style_id,Must exist in style master,Validation
product_name,Should not be null or blank,Completeness
product_name,Trim spaces & standardize case,Standardization
category_id,Must exist in category master,Validation
color,Must follow standard color list,Standardization
is_perishable,Must be Y/N flag,Validation
hsn_code,Must follow HSN format,Validation
middle_east_hsn_code,Must follow regional HSN format,Validation
name,Should not be null or blank,Completeness
