column_name,rule,dimension
id,Should not be null or blank,Completeness
id,Must be unique across records,Uniqueness
entity_code,Should not be null or blank,Completeness
entity_code,Must follow predefined entity code format,Validation
entity_code,Must be unique,Uniqueness
entity_type,Should not be null or blank,Completeness
entity_type,Must be from allowed entity type list,Validation
name,Should not be null or blank,Completeness
name,Trim leading/trailing/multiple spaces and standardize case,Standardization
name,Remove legal suffix variations into canonical suffix,Standardization
name,Should not contain unwanted special characters,Validation
pan_number,Should not be null for Indian entities,Completeness
pan_number,Must follow PAN format (AAAAA9999A),Validation
iec,Must follow IEC code format,Validation
iec,Should not be null or blank,Completeness
cin_no,Must follow CIN structure,Validation
tan_number,Must follow TAN format,Validation
company_registration_number,Should be valid as per registrar database,Validation
ein,Must follow EIN format,Validation
eori,Must follow EORI format,Validation
vat_no,Must follow country-specific VAT format,Validation
address,Should not be null or blank,Completeness
address,Normalize spacing and remove unwanted characters,Standardization
country,Should not be null or blank,Completeness
country,Map country variants to standard country name,Standardization
country,Must be valid & existing country,Validation
website,Must follow valid URL format,Validation
website,Normalize to lowercase and remove trailing slash,Standardization
Email,Should not be null or blank,Completeness
Email,Must follow valid email format,Validation
nature_of_business,Should not be null or blank,Completeness
nature_of_business,Must map to standard industry classification,Standardization
company_type,Must be from predefined list,Validation
year_of_establishment,Must be less than or equal to current year,Validation
year_of_establishment,Must be greater than 1800,Validation
is_inactive,Must be Y/N or True/False,Validation
is_msme,Must be Y/N or True/False,Validation
deleted,Must be 0/1 flag,Validation
created_on,Should not be null,Completeness
created_on,Must be valid date format,Validation
updated_on,Must be greater than or equal to created_on,Validation
created_by,Should not be null,Completeness
updated_by,Should not be null when updated,Completeness
stamp,Must be available for registered entities,Completeness
signature,Must be available for authorized entities,Completeness
prefix,Must be from allowed prefix list (Mr, Ms
bond_number,Must follow bond registration format,Validation
name + address,Combination should identify unique entity,Uniqueness
pan_number + name,Should map to single entity,Uniqueness
country + vat_no,VAT must belong to that country,Validation
